Faction,Quest,Description,Discovery DC,DC,Success?,Public?,
The Zhentarim,Establish the 'Velvet Hand' Social Club,"Roah Moonglow's agents quickly set up a new gambling den and loan-sharking operation in Brampton, the 'Velvet Hand,' right across from the ashes of the Guild tavern they burned. It's a blatant show of force, daring The Guild to respond.",10,10,TRUE,TRUE,
The Harpers,Investigate the Masons' 'Sabotage',"The Harper investigation into the Masons' 'sabotage' claim stalls. Master Stonehand, paranoid about scrutiny, keeps the collapse site under heavy guard by his own Guild Wardens. The Harper agent is unable to gain access to gather conclusive evidence, leaving the Nightingale without the proof needed to counter Stonehand's public narrative.",15,10,FALSE,FALSE,
Knights of the Shield,Swear in Lord Hlath,"The attempt to recruit the dispossessed Lord Hlath into the Knights of the Shield fails. At the clandestine meeting, Hlath balks at the infernal nature of the required oaths, proving too cowardly or too principled to trade his soul for revenge. He flees the meeting, leaving the Knights without their potential high-profile pawn.",20,10,FALSE,FALSE,
The Bibliophile,Acquire and Sell Shipping Manifests,"Nansi Gretta's attempt to acquire the Chionthar Consortium's upcoming shipping manifests fails. The Consortium, wary of industrial espionage, has recently upgraded its internal security. The Bibliophile's agent is unable to access the documents, leaving both the Sembian Kontor and the River-Rats without the valuable intelligence they were expecting.",20,10,FALSE,FALSE,
The Gravekeepers,Investigate Psychic Disturbances near the K'liir,"The Gravekeepers' investigation into psychic disturbances near the K'liir yields no results. The Hand of the Absolute's cell is well-hidden, and their rituals leave no physical trace. After several nights of fruitless searching, Hemlock's agents dismiss the event as a passing psychic echo from the Githyanki camp, and the cult's activities go unnoticed.",20,15,FALSE,FALSE,
Cult of the Returning Lord,Murder a Flaming Fist Informant,"The Bhaal cult's planned murder of a Flaming Fist informant is botched. The informant proves more resilient than anticipated, fighting off his attackers and escaping with non-lethal injuries. The cultists are forced to flee before completing the kill, failing their test and leaving behind a terrified, but living, witness who reports the attack to the Fist.",20,15,FALSE,FALSE,
The Silent Shroud,Cleanse the Sanctum Entrance,"The Sharran agent's attempt to ritually cleanse the entrance to the old sanctum fails. The ancient wards protecting the sanctum prove too powerful for the lone agent to overcome. The ritual fizzles harmlessly, and the entrance remains magically sealed, a major setback for the Silent Shroud's plans.",20,15,FALSE,FALSE,
The Hands of the Absolute,Kidnap a Psychic,"The Hand of the Absolute's attempt to kidnap a fortune-teller from the Wide is a failure. The target, a woman of surprising resilience, creates a scene that draws the attention of a nearby Watch patrol. The cultists are forced to abandon their plan and flee, leaving them without the psychic focus needed for their ritual.",20,15,FALSE,FALSE,
The Gilded Vein,Manipulate Grain Futures,"The Gilded Vein's attempt to manipulate grain futures collapses. An alert clerk at the Counting House spots inconsistencies in the forged manifests and raises an alarm. The Sembian Kontor, alerted to the scheme, quickly releases official statements that stabilize the market. The plot fails, costing the Gilded Vein significant capital and exposing their methods to their rivals.",20,15,FALSE,FALSE,
The Plague of Remembrance,Plant 'Evidence' of a Refugee Murder Plot,"The plot to frame the Hellriders for murder falls apart. While the cultists succeed in killing the merchant, a random Watch patrol happens upon the scene before they can properly plant the forged letter. The cultists are forced to flee, leaving the body without the incriminating 'evidence.' The death is reported as a simple, albeit tragic, robbery.",15,10,FALSE,FALSE,
The Carnival of Whispers,Host a 'Dream-Inducing' Performance,"Mister Smiles's attempt to host a dream-inducing performance fizzles. The complex fey magic he weaves into the illusions is unstable, resulting in a confusing and lackluster show rather than a profound emotional experience for the audience. The cult fails to harvest any significant emotional residue, leaving their fey patron unsatisfied.",20,15,FALSE,FALSE,
The Takers of the Tithe,The Reaper Strikes,"The Takers' assassination of master goldsmith Elara Varrin is a dismal failure. Varrin, returning home with a recently hired bodyguard, survives the ambush. The cult's 'Reaper' is wounded in the skirmish and forced to retreat without the prize. The cell has failed to claim its tithe and has now alerted a prominent artisan to their existence.",20,20,FALSE,FALSE,
The Unveiled,Find 'Proof' in the Mason's Wall,Xylia's conspiracists examine the collapsed section of the Basilisk Gate wall and declare that the 'unnatural' way the stones fell is proof of a psionic resonance weapon being tested by the 'Shapeshifter' cabal. They distribute pamphlets with their 'findings.',15,5,TRUE,FALSE,
Elturel Remembrance Society,Ritually Condemn the Waterdhavian Kontor,"Lord Perrine Hhune's public condemnation of the Waterdhavian Kontor ends with a whimper. The small group of protesters is quickly and efficiently dispersed by the Kontor's Griffin Guard. The event is so minor it goes completely unnoticed by the general public, a humiliating failure for the society.",10,5,FALSE,FALSE,
The Purified,Distribute 'Purified Water',"Glim-Glim and his followers begin handing out small vials of 'purified' rainwater in the Outer City, warning citizens that the city's water is a 'gnomish mind-control agent.' Most people think they're insane.",10,5,TRUE,TRUE,
Society of Baldurian Integrity,Deface a Kontor-Funded Mural,"The planned defacement of the Amnian-funded mural in Heapside is thwarted. Alerted by a paid informant, a patrol of Amnian Coin-Swords is waiting in the shadows. Calliope's followers are ambushed and chased off before they can throw a single bucket of paint, a public failure for the nativist cause.",10,5,FALSE,FALSE,
Peerage of Blood,Lobby for 'Heritage Preservation' Laws,"Lord Durinbold's 'Heritage Preservation Act' is soundly defeated in the Parliament of Peers. The united voting bloc of the Peerage of Coin, backed by the immense wealth of the Kontors and Consortiums, easily quashes the bill. The defeat is a major blow to the traditionalist faction, demonstrating the waning influence of the old patriar families.",10,10,FALSE,FALSE,
Hellriders of New Elturel,Organize a Protest at Wyrm's Crossing,"Enraged by the beating of an Outer City merchant and the dismissal of their petition, High Watcher Alena organizes a massive, peaceful protest at the southern end of Wyrm's Crossing, demanding an end to the Flaming Fist's corruption. They are joined by the Followers of the Phoenix.",0,10,TRUE,TRUE,
Free Traders of the Outskirts,Blockade the Basilisk Gate,"The Free Traders' blockade of the Basilisk Gate is violently broken by the Flaming Fist. After a brief standoff, a large contingent of Fists led by Blaze Liara Portyr storms the blockade, arresting several caravan masters and impounding their wagons. The decisive action reopens the gate but further enrages the Outer City communities.",5,15,FALSE,TRUE,
Circle of the Inner Grove,Ruin a Log Shipment,"The druids' night raid on the logging camp fails. The Sembian mercenaries, anticipating a reprisal, had set magical traps and alarms. Elder Elion's circle is ambushed as they approach the camp and are forced to retreat after a brief, sharp skirmish, unable to get close enough to the felled trees to work their magic.",20,15,FALSE,FALSE,
Followers of the Phoenix,Join the Hellrider Protest,"The Ember' leads their growing flock of followers to the protest at Wyrm's Crossing, joining the Hellriders. Their fiery rhetoric and passionate speeches turn a simple protest into a fervent rally for the rights of all the city's outcasts.",5,5,TRUE,FALSE,Direct party involvement
The Unchained,Begin Investigating Psychic Echoes,"The Githyanki investigation into the psychic echoes near their camp is fruitless. The Hand of the Absolute's methods are subtle, leaving no physical or psionic trace for the squad to follow. After a thorough but unsuccessful search of the tenements, the squad returns to K'laar, reporting that the source could not be located and may have been a random, passing phenomenon.",20,15,FALSE,FALSE,
Baldur's Mouth,Publish a Story Blaming Refugees for Merchant's Murder,"Ettvard Needle takes Lady Vhage's gold but is unable to run the planned story. With the 'incriminating letter' never planted on the merchant's body by Vhage's bungling cultists, Needle has no 'evidence' to cite. He shelves the story, pocketing the gold and waiting for a more opportune moment, much to Lady Vhage's fury.",0,5,FALSE,TRUE,
