Faction Name,Quest,Description,Discovery DC,DC,Success?,Public?
The Carnival of Whispers,Abduct a 'Passionate' Soul,"The abduction attempt turns into a noisy street fight as the poet, a skilled fencer, fights back. The clowns flee after the poet wounds one and raises the alarm. The Bloomridge neighborhood is now on high alert for sinister clowns, making future abductions in the area far more difficult.",20,15,TRUE,FALSE
The Elturel Remembrance Society,Declare a Baldurian Merchant 'Infernal',"The protest is a dismal failure. The targeted merchant, a popular figure, is defended by his neighbors. The local Guild Ward Boss, annoyed by the disruption, sends thugs to disperse the protesters, humiliating the Society and branding them as ineffective zealots.",10,5,TRUE,TRUE
The Gilded Vein,Poison a Consortium's Carrier Pigeons,"The cultist assigned the task is caught by a stable hand while trying to poison the pigeon feed. The cultist escapes but is identified. The Western Gate Trading Company is now aware that a new, hostile group is targeting them with poison and significantly increases its security. The Gilded Vein has lost the element of surprise.",20,15,TRUE,TRUE
The Gravekeepers,Perform a Cleansing Ritual in Tumbledown,"The ritual is interrupted by a powerful wraith drawn to the spiritual energy. The Gravekeepers are forced to abandon the cleansing to fight it. They destroy the creature, but not before it shatters a key warding stone, leaving the graveyard more vulnerable than before.",20,10,TRUE,TRUE
The Guild,Organize Winter Relief for New Elturel,"Nine-Fingers Keene has her Ward Bosses distribute blankets and food stores to the poorest residents of the New Elturel refugee camp, a highly public act of charity designed to earn loyalty and show up the city's neglectful government.",0,5,TRUE,FALSE
The Plague of Remembrance,Start a Whispering Campaign,"Lady Vhage uses her social connections to start rumors about rising crime and disease being brought in by the Elturian refugees, poisoning public opinion against them in the taverns and salons of the Lower and Upper Cities.",15,5,TRUE,FALSE
The Purified,Attempt to Sabotage a Water Pump,"The clumsy sabotage attempt attracts the attention of a Guild Warden from the Masons' Company. Investigating the broken pump, the Warden finds strange, non-functional gadgets left behind. The attempt fails, and now a hostile guild is investigating their activities.",15,10,TRUE,FALSE
The Silent Shroud (Shar),Infiltrate the House of Grief,"The agent's cover is too good. The sanatorium's head cleric takes a special interest in the 'grieving noble,' subjecting the agent to constant, heartfelt counseling and magical monitoring. This makes any attempt to scout for hidden sanctums impossible without being discovered. The mission is a failure, and the agent is stuck in therapy.",20,15,FALSE,FALSE
The Society of Baldurian Integrity,Heckle a Waterdhavian Bard,"Calliope and her followers publicly heckle and shame a visiting bard from Waterdeep who is performing at the Singing Lute, accusing her of singing 'memetic poison' and eroding 'true' Baldurian culture.",5,5,FALSE,FALSE
The Sorcerous Sodality,Conduct a Raid on an Unlicensed Spellcaster,"Acting on a tip, Sodality enforcers raid the attic room of a 'hedge wizard' in Bloomridge who was selling minor charms and love potions. They confiscate his material components and spellbook, issuing a heavy fine and a stern warning.",10,5,TRUE,FALSE
The Takers of the Tithe,Identify a Master Artisan as a Target,"The Spotter fails to account for the Goldsmiths' Guild's extreme security. The target's movements are erratic and she is always protected by bodyguards. The Takers' surveillance is detected, and the target is placed under high security, forcing the cell to abandon their hunt.",20,20,FALSE,FALSE
The Unchained (K'liir),Decline a Mercenary Contract,"Commander K'laar is approached by an agent of the Amnian Kontor with a lucrative contract to act as private muscle. She refuses, stating the work is without honor and that her warriors are not for rent to settle banking disputes.",15,5,TRUE,FALSE
The Unveiled,Reveal' a Conspiracy via Altered Broadsides,"The conspiracists successfully alter the plates, but their coded messages are so esoteric that the public dismisses them as the ramblings of a madman. The altered broadside becomes a local joke, damaging the group's credibility.",15,10,FALSE,FALSE
The Watch,Investigate Vandalism at the Jannath Estate,"The Upper City's Watch investigates a minor incident where red paint was splashed on the 'foreign-style' Sembian statues in the Jannath Estate's garden. The Watch dismisses it as youthful hijinks, unaware it was a statement by the Society of Baldurian Integrity.",10,5,FALSE,FALSE
The Worshipful Company of Alchemists & Apothecaries,Fix Antitoxin Prices,"Following a minor outbreak of Sewer Plague in the Lower City, the Company's Court of Assistants votes to triple the price of antitoxin, citing 'scarcity of rare reagents.' The move is pure price-gouging.",5,5,FALSE,FALSE
The Worshipful Company of Butchers & Tanners,Dump Waste into the Chionthar,"Under the cover of darkness, Goodman Borlu's tanneries dump several vats of toxic chemical runoff directly into a tributary of the Chionthar, poisoning the water for miles downstream to avoid the cost of proper disposal.",15,5,TRUE,TRUE
The Worshipful Company of Cartographers & Surveyors,Sell 'Exclusive' Trade Route Maps,"Master Elias Vancroft's guild sells a 'newly discovered, safe passage' map through the Trollclaws to two competing caravan masters, pocketing fees from both. The route is, in fact, notoriously dangerous.",10,5,FALSE,FALSE
The Worshipful Company of Chandlers & Lamplighters,Secure the City Lamplighting Contract,"Mistress Anya Brightwood's guild successfully renews its lucrative contract with the Council of Four to maintain and light the lamps of the Lower and Upper Cities for the next five years, ensuring their steady profit and civic importance.",5,5,FALSE,FALSE
The Worshipful Company of Fishmongers,Organize a Dockworker Strike,"The Chionthar Consortium, anticipating the strike, preemptively hires non-union labor from the desperate refugee population in New Elturel. When the Wharf Rats walk out, the strikebreakers move in, protected by Consortium guards. The strike collapses within hours, weakening the Fishmongers' influence and creating bitter resentment between Baldurian dockworkers and Elturian refugees.",5,10,FALSE,FALSE
The Worshipful Company of Goldsmiths & Jewelers,Expose a Counterfeit Operation,"Master Theronius Goldhand's agents work with The Guild to quietly identify and shut down a small-time counterfeiter operating out of the Undercellar. The Guild gets the counterfeiter, and the Goldsmiths protect the integrity of their trade.",15,10,FALSE,FALSE
The Worshipful Company of Masons & Sculptors,Cover Up a Structural Flaw,"A newly built wall section near the Basilisk Gate shows signs of cracking due to shoddy, cost-cutting work. Master Borin Stonehand's inner circle pays off the Flaming Fist inspector and has a crew perform a hasty, cosmetic repair job in the dead of night to hide the flaw.",15,10,FALSE,FALSE
The Worshipful Company of Mercers & Clothiers,Secure a Monopoly on Waterdhavian Silk,"Mistress Elethra Vance secures an exclusive import contract with the Waterdhavian Kontor for their high-quality silks, ensuring her guild is the only source for the material most coveted by the city's patriar class for their winter festival gowns.",10,10,TRUE,TRUE
The Worshipful Company of Shipwrights & Calkers,Sabotage a Guild-less Drydock,"The raid goes awry. The independent operator had hired guards from the Free Traders. The Guild Wardens are intercepted, leading to a bloody skirmish. The Wardens are forced to retreat, and one of their own is captured by the Free Traders, creating a hostage situation and escalating the conflict between the official guilds and Outer City merchants.",15,10,TRUE,TRUE
The Worshipful Company of Smiths & Armorers,Acquire 'Hell-Damaged' Armor,"Dammon, of the Forge of the Nine, puts out a call to adventuring parties for any armor salvaged from the Fall of Elturel, paying a premium for pieces that are warped by infernal energy, which he believes he can repurpose.",5,5,FALSE,TRUE
The Worshipful Company of Vintners & Brewers,Smash a Moonshine Operation,"Acting on a tip, Guild Wardens raid a tenement basement in Eastway being used as an illegal distillery. They smash the stills and confiscate the moonshine, making an example of the operator to discourage others from bypassing the guild's monopoly.",10,5,TRUE,TRUE
Waterdhavian Kontor (The Splendid Yard),Acquire 'Lost' Elturian Tomes,"Factor Elara Mornwood uses her agents to 'acquire' a set of rare historical texts, supposedly lost during the fall of Elturel, from a struggling refugee scholar in New Elturel for a pittance. The books are added to the Splendid Yard's library, a source of bitterness for Elturian traditionalists.",15,5,FALSE,FALSE
Western Gate Trading Company,Clear-Cut the Whisperwood Copse,"Using their newly-ratified charter, Matron Lyra Silvershield's company dispatches logging crews to a section of the Wood of Sharp Teeth known locally as the Whisperwood Copse. They clear-cut the area with brutal efficiency, enraging the Circle of the Inner Grove.",5,5,TRUE,TRUE
Wharf Rats,Lose' a Crate of Lantaner Goods,"One-Eyed' Jack's dockworkers contrive to 'accidentally' drop a crate from the Lantaner Concession during unloading. The crate, containing valuable mechanical parts, is damaged and its contents are pilfered before being reported as a loss.",15,10,TRUE,FALSE
Zhentarim (Black Network),Burn Down a Guild-Protected Tavern,"As part of their move on Brampton, Roah Moonglow's enforcers burn down a tavern that refused to switch its protection payments from The Guild to them. The act is meant as a brutal message to other businesses in the area.",15,10,TRUE,TRUE
